chaincode,huruf
5555-55A6665555443,ݢ
66,ا
05765-64040553+,ص
+43622223-,ل
-1555767647-,ک
-5755A054-346,ن
766-4-,م
-04A54+,ن
+324-243+2,د
5B575-,غ
-005555543+,ر
-0211B074b4+,ق
+224-,ي
+32525564505+,ص
+74-045,ه
575-054+,م
+35-422127622+,ل
+2755,ا
655b,ي
346B7655-5544+4,و
,د
606+4-,م
-04+3422+,ل
+526-54,ا
-5115576+6554+43,ک
p01v1-line12,
575-0,م
-045a4+,ي
+54A44-,ن
-4B43+,ت
+6332+622,ا
65-452B,ت
35655-44-4,و
6765-,ل
-346755-4,و
5B7,غ
07653A,ف
55-4,د
65-53B5755-,ت
5755-4444+34,و
66,ا
+34A4+127712,ن
54635565676,ح
a550510715566+77011,ج
666,ا
6a5-,ب
-55555-32,ر
666+66,ا
756066-,ه
+4+43-73325567a,ي
405666+7,م
56404-443+,س
+2222,ا
265-,ل
-650454-,ي
+342A+,ن
+5221a1-,ک
+65-54+322+1A,ن
55-55555555544+,ش
+4524+643+,ع
2455b5-,ي
-5555-54-4+444-4,ر
666,ا
6a4-,ي
-5543+21a,ن
567+75-,م
-54+243B6755444444435353454744333+,ق
+33456b543,ي
0644+455b,م
p01v1-line13,
252114-445-,ک
-5b35-,ي
-453B544444+33,ت
555555555+55-,س
-53365755-54,و
6466+,ر
+0701-511,ه
55-555555-,س
-43+22,ا
66654,ل
5b4-,ي
-44A+,ن
+2252,ک
65A-432,ن
a27012,ب
2226+7,ا
556543,ر
6C570514-,ڠ
-5a4+,ي
+344C6576056+70001,ڠ
570606,ع
757044444+,م
+33-3b+33,ي
55456666+6,م
66,ا
54A,ن
5b-4+,ي
+6226,ل
454-6,ه
5A70755,ف
55-5532,ر
555-5566654,ک
55A-72+,ت
2+0270,ا
6A54,ن
65C-543022,ث
5555555554C4444+,ش
+434455-,ع
-7545b-,ي
-3714655-5555444+44,ر
76550,د
45-5555+555444444-,س
+322,ا
666543,ل
25-5b46,ي
55A5-4444+3,ن
p01v1-line14,
574-,م
-05a4,ي
4A44,ن
4A33+,ت
+262,ا
45555-555555444+,س
+3+625+21-,ل
-2+33,ا
67404-,م
-55B444443+211,ت
6a476-5040,ج
5477555-5443+,و
+3214711A122271-111-075545-4443722,ݢ
5a-23,ن
53+43A36261a1-1116654+4-,ݢ
-55555543+22,ر
41+4-510b1214+71+2434533+726,ي
0A54,ف
45655-543+,و
7022271,ل
435+7521-2A,غ
654+4+,س
+4+25A5,ف
55-55-54+32,ر
1B07,ة
666,ا
06765035+,ص
-04333+4266654-33+2,ل
665a43,ي
44B7554677+00+601,ڠ
7a55-,ب
-6-473665065404-,ه
-4+505554+57,ر
6+7554+67474-443361,ي
p01v1-line15,
,ا
64A,ن
54B4-4432+,ش
+222,ا
,ء
66,ا
6434,ل
465-43+,ل
+42245560,ه
65B-,ت
-43464-43+,ع
+2222,ا
576,ل
6544-44433+21,ى
666,ا
635a3+5+,ي
3+5+34-4,س
B57655-4444-4+433-3+2+,ؤ
6B4-43+2,ث
+42533456760544-,ه
-2+7222,ا
555543,ر
57654b44-4+42375,ي
45555+45+,س
+4745+43141065+5-,ه
-720722,ا
67-56+446372107,ي
65a4-,ب
-5554+5271,ر
34,د
,ا
6A4-,ت
-54B7660+0767+50-0,ڠ
5555-5544444+4-,س
-4645-3+,م
+6a4+,ب
+3555,ه
5-5555555544+,س
+45365352A,ن
55-4,د
65-5a,ي
553+4,ر
6654436,ي
p01v1-line16,
5555555555453544+,س
+445644A-53+,س
+42622,ا
6B5750,ڠ
43B555,ت
761,د
56065543B,و
,د
7B655543,ؤ
65a5-,ب
-0555543+21,ر
5555536,ک
3626,ا
7-655B55-443,ت
353+265111,ک
26260,ا
6+54-4B4444433+26,ت
775,د
6a74-154+,ج
+72220,ا
67-54-,م
-4467555-4354+,و
+732B4-260434+26,ث
5+355-,م
+3223,ا
-5011-01566565-,ک
-5342+2615,ن
6a4,ب
5467555-443+21,و
110+6,ه
7575655-,م
+234A54775144-4+,غ
+35222A11-,ݢ
-0044-435,س
-435B-444444444444435473333,ت
p01v1-line17,
555555554+,س
+43547555-3+,و
4364,د
4+56+75+757,ه
3555-74+,م
+527223,ا
4151-111-17-70616-,ک
-565A55-543+46225,ن
46+5-75555555554-444+4-,س
-4454214+11-116,ک
622604,ل
4b2+4+532,ي
+5325A,ن
655-543+21123,ث
55553+41+66,ر
66,ا
7655C5-45354445435354733+3262,ت
5667403,س
355-4365-,م
-544-3+3253,و
+325365C44-535343526,ا
65C44-535343526,ث
5A7056,ف
675154-44+3,و
262654-,ل
-344C75564-700+57-6+57+0,ڠ
55-55427,ک
626407-,ل
-75605455-54-33,و
66,ا
750550,ر
544544-5665-,ک
-356555-4444+3,و
76554B544-4545444-443326,ت
p01v1-line18,
666,ا
6b4,ي
535+4-4,س
63C467555-543,ؤ
7557067055-03+,ه
+4262,ا
+2251670111111,ر
567546+5-5b443+,ي
670765554-43,و
7001-1A1122,ز
6b5465-,ي
+5543+225,ر
666,ا
666,ل
-453544535345+3473+,س
+62622242+,ل
+2667331,ا
37665605055555,م
575-043+,م
+2232+,ا
+126221-11155+,س
+446256055544-3+3,ؤ
6057+61,ء
766+504-,م
+4524B47545-,غ
-33+76222,ا
765,د
66,ا
4A760655545-4443+3762,ف
6+6552+,ل
2+23,ا
66645-,ل
-076655-544+47,و
3+6211115,ک
32555+472,د
66,ا
2666544444+454+,ل
+6356-7506006+6,م
p01v1-line19,
76a-,ب
+52A21-11,ݢ
4A5-4+,ن
+32525-432+2,د
4A657531,ف
65-5454+75-2731-,و
-356+210711+20,ن
757+4044-43+,ح
+222,ا
5A765650003+,ض
+534b+24-,ي
-65655-5544-44+4,ر
765,د
547605555-4,و
671,د
4C6755-543,ؤ
65a6,ب
65-05554+32,ر
0+55-555-554+44-,س
-6-454-43+,م
+2222,ا
56655707b,ي
570740666+6,م
7650,د
65a43+,ي
+62+2,ا
76-5,د
666,ا
6475A54-45464372,ف
555554+5455-444+,س
+435a3+111,ݢ
2621-1675532,ل
75707-5504-,ه
-4+35222+,ل
+245a-4+,ب
+527222,ا
6644,ل
4B57640+74677+50,غ
570765554-3,و
55-5A554+53754,ز
665b,ي
55-54+527,ر
66,ا
6764-,ل
-12355644-43+,ع
+2222,ا
66A665607-,ل
-40666+6,م
p01v1-line20,
5555555544+,س
+362+21145-,ک
-45a+,ت
+4333b+,ي
+46222151166533+46,ک
56705+,م
-4+3254C4-67655-,غ
-42+7222+22,ا
7-6-5,د
66,ا
4A6-755534-5443+2215,ف
560655-543,و
66,ا
55A554272,ز
6655b-,ي
-055543+2,ر
+2435414a-,ف
-16474531A07305-,ه
-353+3252+,ل
+22552+223700-,ا
5770765555-543-3+,و
66666,ا
+33A2511274-5-44443-3+221,ن
6a5-,ب
-555452+72,ر
6B753,ت
465b-,ي
-332B5574+,ت
+6324576+744-453+,ه
+32+622653+4-35,ل
5170457,ه
761,د
4555555544+,س
+36b3-,ي
-4B64,ت
